Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for windows-amd64 JRE (1.8.0_291-b10), built on Apr  9 2021 00:02:00 by "java_re" with MS VC++ 15.9 (VS2017)
Memory: 4k page, physical 16669968k(5092344k free), swap 28204304k(14452792k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-08-13T21:33:48.626+0800: 0.311: [Full GC (Ergonomics) [PSYoungGen: 14847K->12379K(29184K)] [ParOldGen: 87141K->87543K(87552K)] 101989K->99923K(116736K), [Metaspace: 2653K->2653K(1056768K)], 0.0066096 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2021-08-13T21:33:48.633+0800: 0.318: [Full GC (Ergonomics) [PSYoungGen: 14227K->12426K(29184K)] [ParOldGen: 87543K->87548K(87552K)] 101771K->99975K(116736K), [Metaspace: 2653K->2653K(1056768K)], 0.0056584 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-08-13T21:33:48.639+0800: 0.324: [Full GC (Ergonomics) [PSYoungGen: 14748K->13701K(29184K)] [ParOldGen: 87548K->87368K(87552K)] 102297K->101070K(116736K), [Metaspace: 2653K->2653K(1056768K)], 0.0066051 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-08-13T21:33:48.646+0800: 0.331: [Full GC (Ergonomics) [PSYoungGen: 14644K->13920K(29184K)] [ParOldGen: 87368K->87368K(87552K)] 102012K->101289K(116736K), [Metaspace: 2653K->2653K(1056768K)], 0.0016473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-08-13T21:33:48.648+0800: 0.333: [Full GC (Ergonomics) [PSYoungGen: 14754K->14090K(29184K)] [ParOldGen: 87368K->87165K(87552K)] 102123K->101256K(116736K), [Metaspace: 2653K->2653K(1056768K)], 0.0096458 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-08-13T21:33:48.658+0800: 0.343: [Full GC (Ergonomics) [PSYoungGen: 14649K->14052K(29184K)] [ParOldGen: 87165K->87165K(87552K)] 101815K->101218K(116736K), [Metaspace: 2653K->2653K(1056768K)], 0.0016158 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-08-13T21:33:48.660+0800: 0.345: [Full GC (Ergonomics) [PSYoungGen: 14419K->14336K(29184K)] [ParOldGen: 87165K->87165K(87552K)] 101585K->101502K(116736K), [Metaspace: 2653K->2653K(1056768K)], 0.0014965 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-13T21:33:48.661+0800: 0.346: [Full GC (Allocation Failure) [PSYoungGen: 14336K->14336K(29184K)] [ParOldGen: 87165K->87146K(87552K)] 101502K->101483K(116736K), [Metaspace: 2653K->2653K(1056768K)], 0.0268761 secs] [Times: user=0.00 sys=0.00, real=0.03 secs] 
Heap
 PSYoungGen      total 29184K, used 14653K [0x00000000fd580000, 0x0000000100000000, 0x0000000100000000)
  eden space 14848K, 98% used [0x00000000fd580000,0x00000000fe3cf540,0x00000000fe400000)
  from space 14336K, 0% used [0x00000000ff200000,0x00000000ff200000,0x0000000100000000)
  to   space 14336K, 0% used [0x00000000fe400000,0x00000000fe400000,0x00000000ff200000)
 ParOldGen       total 87552K, used 87146K [0x00000000f8000000, 0x00000000fd580000, 0x00000000fd580000)
  object space 87552K, 99% used [0x00000000f8000000,0x00000000fd51aa88,0x00000000fd580000)
 Metaspace       used 2683K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 294K, capacity 386K, committed 512K, reserved 1048576K
